benchmark,reward,walltime,commandline
benchmark://cbench-v1/adpcm,0.0,6.198883056640625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,6.9141387939453125e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,5.9604644775390625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,6.4373016357421875e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,6.198883056640625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,5.9604644775390625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,5.7220458984375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,5.245208740234375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,5.245208740234375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/adpcm,0.0,4.76837158203125e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,5.9604644775390625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.5299530029296875e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,8.344650268554688e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.5299530029296875e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.0531158447265625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.5299530029296875e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.76837158203125e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.291534423828125e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.5299530029296875e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bitcount,0.0,4.76837158203125e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.245208740234375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.7220458984375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.7220458984375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.245208740234375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.9604644775390625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.245208740234375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.4836273193359375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.9604644775390625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,6.198883056640625e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/blowfish,0.0,5.7220458984375e-06,opt  input.bc -o output.bc
benchmark://cbench-v1/bzip2,0.0,5.7220458984375e-06,opt  input.bc -o output.bc
